#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
99 0.033790 0.959132 0.010206 0.010206 0.010206 0.010206
100 0.034037 0.957950 0.010501 0.010501 0.010501 0.010501
101 0.034285 0.956747 0.010801 0.010801 0.010801 0.010801
102 0.034532 0.955525 0.011105 0.011105 0.011105 0.011105
103 0.034779 0.954283 0.011415 0.011415 0.011415 0.011415
104 0.035026 0.953021 0.011730 0.011730 0.011730 0.011730
105 0.035273 0.951741 0.012049 0.012049 0.012049 0.012049
106 0.035521 0.950441 0.012373 0.012373 0.012373 0.012373
107 0.035768 0.949122 0.012702 0.012702 0.012702 0.012702
108 0.036015 0.947785 0.013035 0.013035 0.013035 0.013035
109 0.036262 0.946429 0.013373 0.013373 0.013373 0.013373
110 0.036509 0.945054 0.013716 0.013716 0.013716 0.013716
111 0.036756 0.943662 0.014063 0.014063 0.014063 0.014063
112 0.037003 0.942253 0.014414 0.014414 0.014414 0.014414
113 0.037250 0.940826 0.014770 0.014770 0.014770 0.014770
114 0.037496 0.939381 0.015130 0.015130 0.015130 0.015130
115 0.037743 0.937921 0.015494 0.015494 0.015494 0.015494
116 0.037990 0.936444 0.015862 0.015862 0.015862 0.015862
117 0.038237 0.934951 0.016234 0.016234 0.016234 0.016234
118 0.038484 0.933442 0.016610 0.016610 0.016610 0.016610
119 0.038730 0.931918 0.016989 0.016989 0.016989 0.016989
120 0.038977 0.930380 0.017372 0.017372 0.017372 0.017372
121 0.039224 0.928827 0.017759 0.017759 0.017759 0.017759
122 0.039470 0.927261 0.018149 0.018149 0.018149 0.018149
123 0.039717 0.925681 0.018542 0.018542 0.018542 0.018542
124 0.039963 0.924089 0.018939 0.018939 0.018939 0.018939
125 0.040210 0.922484 0.019338 0.019338 0.019338 0.019338
126 0.040456 0.920867 0.019741 0.019741 0.019741 0.019741
127 0.040702 0.919240 0.020146 0.020146 0.020146 0.020146
128 0.040949 0.917602 0.020553 0.020553 0.020553 0.020553
129 0.041195 0.915953 0.020963 0.020963 0.020963 0.020963
130 0.041441 0.914296 0.021376 0.021376 0.021376 0.021376
131 0.041688 0.912629 0.021790 0.021790 0.021790 0.021790
132 0.041934 0.910955 0.022207 0.022207 0.022207 0.022207
133 0.042180 0.909273 0.022625 0.022625 0.022625 0.022625
134 0.042426 0.907584 0.023045 0.023045 0.023045 0.023045
135 0.042672 0.905889 0.023467 0.023467 0.023467 0.023467
136 0.042918 0.904188 0.023889 0.023889 0.023889 0.023889
