#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
99 0.031710 0.968266 0.007927 0.007927 0.007927 0.007927
100 0.031957 0.967252 0.008180 0.008180 0.008180 0.008180
101 0.032205 0.966219 0.008437 0.008437 0.008437 0.008437
102 0.032452 0.965165 0.008700 0.008700 0.008700 0.008700
103 0.032699 0.964091 0.008968 0.008968 0.008968 0.008968
104 0.032947 0.962997 0.009241 0.009241 0.009241 0.009241
105 0.033194 0.961883 0.009519 0.009519 0.009519 0.009519
106 0.033441 0.960749 0.009802 0.009802 0.009802 0.009802
107 0.033688 0.959595 0.010090 0.010090 0.010090 0.010090
108 0.033936 0.958420 0.010383 0.010383 0.010383 0.010383
109 0.034183 0.957226 0.010681 0.010681 0.010681 0.010681
110 0.034430 0.956012 0.010984 0.010984 0.010984 0.010984
111 0.034677 0.954778 0.011292 0.011292 0.011292 0.011292
112 0.034924 0.953525 0.011604 0.011604 0.011604 0.011604
113 0.035171 0.952253 0.011921 0.011921 0.011921 0.011921
114 0.035419 0.950961 0.012244 0.012244 0.012244 0.012244
115 0.035666 0.949650 0.012570 0.012570 0.012570 0.012570
116 0.035913 0.948320 0.012902 0.012902 0.012902 0.012902
117 0.036160 0.946972 0.013238 0.013238 0.013238 0.013238
118 0.036407 0.945606 0.013579 0.013579 0.013579 0.013579
119 0.036654 0.944221 0.013924 0.013924 0.013924 0.013924
120 0.036900 0.942819 0.014273 0.014273 0.014273 0.014273
121 0.037147 0.941399 0.014627 0.014627 0.014627 0.014627
122 0.037394 0.939962 0.014985 0.014985 0.014985 0.014985
123 0.037641 0.938509 0.015347 0.015347 0.015347 0.015347
124 0.037888 0.937038 0.015714 0.015714 0.015714 0.015714
125 0.038135 0.935552 0.016084 0.016084 0.016084 0.016084
126 0.038382 0.934050 0.016458 0.016458 0.016458 0.016458
127 0.038628 0.932532 0.016836 0.016836 0.016836 0.016836
128 0.038875 0.931000 0.017218 0.017218 0.017218 0.017218
129 0.039122 0.929453 0.017603 0.017603 0.017603 0.017603
130 0.039368 0.927892 0.017992 0.017992 0.017992 0.017992
131 0.039615 0.926318 0.018384 0.018384 0.018384 0.018384
132 0.039862 0.924730 0.018779 0.018779 0.018779 0.018779
133 0.040108 0.923130 0.019177 0.019177 0.019177 0.019177
134 0.040355 0.921518 0.019579 0.019579 0.019579 0.019579
135 0.040601 0.919894 0.019983 0.019983 0.019983 0.019983
136 0.040848 0.918260 0.020389 0.020389 0.020389 0.020389
137 0.041094 0.916615 0.020799 0.020799 0.020799 0.020799
138 0.041341 0.914961 0.021210 0.021210 0.021210 0.021210
139 0.041587 0.913297 0.021624 0.021624 0.021624 0.021624
140 0.041834 0.911625 0.022040 0.022040 0.022040 0.022040
141 0.042080 0.909945 0.022458 0.022458 0.022458 0.022458
142 0.042326 0.908258 0.022878 0.022878 0.022878 0.022878
143 0.042573 0.906564 0.023299 0.023299 0.023299 0.023299
144 0.042819 0.904864 0.023721 0.023721 0.023721 0.023721
145 0.043065 0.903160 0.024145 0.024145 0.024145 0.024145
146 0.043312 0.901451 0.024570 0.024570 0.024570 0.024570
147 0.043558 0.899738 0.024996 0.024996 0.024996 0.024996
148 0.043804 0.898022 0.025422 0.025422 0.025422 0.025422
149 0.044050 0.896304 0.025849 0.025849 0.025849 0.025849
150 0.044296 0.894584 0.026276 0.026276 0.026276 0.026276
151 0.044542 0.892864 0.026703 0.026703 0.026703 0.026703
152 0.044788 0.891143 0.027130 0.027130 0.027130 0.027130
153 0.045034 0.889424 0.027557 0.027557 0.027557 0.027557
154 0.045280 0.887706 0.027984 0.027984 0.027984 0.027984
155 0.045526 0.885990 0.028410 0.028410 0.028410 0.028410
156 0.045772 0.884278 0.028835 0.028835 0.028835 0.028835
